<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	3334.97	3341.25	3333.29	3340.01	534	0	180
2025.01.01	00:10:00	3340.01	3349.94	3339.25	3348.24	931	0	180
2025.01.01	00:20:00	3348.23	3351.40	3344.17	3347.09	685	0	180
2025.01.01	00:30:00	3347.09	3358.14	3346.49	3357.81	856	0	180
2025.01.01	00:40:00	3357.81	3358.82	3351.45	3354.54	612	0	180
2025.01.01	00:50:00	3354.46	3363.44	3353.42	3361.50	809	0	180
2025.01.01	01:00:00	3361.50	3363.77	3352.75	3358.11	803	0	180
2025.01.01	01:10:00	3358.11	3360.61	3350.60	3352.04	678	0	180
2025.01.01	01:20:00	3352.04	3354.72	3348.85	3350.90	564	0	180
2025.01.01	01:30:00	3350.90	3356.85	3350.68	3352.79	461	0	180
2025.01.01	01:40:00	3352.79	3355.48	3348.47	3351.54	464	0	180
2025.01.01	01:50:00	3351.53	3351.72	3340.23	3344.70	627	0	180
2025.01.01	02:00:00	3344.70	3351.56	3344.13	3345.79	640	0	180
2025.01.01	02:10:00	3345.79	3352.82	3345.78	3351.10	525	0	180
2025.01.01	02:20:00	3351.10	3352.37	3346.83	3348.19	318	0	180
2025.01.01	02:30:00	3348.19	3358.18	3347.76	3356.03	754	0	180
2025.01.01	02:40:00	3356.03	3357.99	3353.44	3354.08	531	0	180
2025.01.01	02:50:00	3354.08	3367.32	3353.81	3360.82	641	0	180
2025.01.01	03:00:00	3360.82	3361.96	3356.25	3357.71	730	0	180
2025.01.01	03:10:00	3357.71	3359.30	3351.75	3354.20	544	0	180
2025.01.01	03:20:00	3354.20	3354.74	3348.99	3352.49	425	0	180
2025.01.01	03:30:00	3352.49	3354.84	3349.88	3354.26	227	0	180
2025.01.01	03:40:00	3354.26	3355.00	3348.52	3352.51	379	0	180
2025.01.01	03:50:00	3352.51	3354.60	3352.39	3352.88	278	0	180
2025.01.01	04:00:00	3352.88	3354.29	3348.18	3348.50	407	0	180
2025.01.01	04:10:00	3348.50	3349.29	3343.46	3346.44	478	0	180
2025.01.01	04:20:00	3346.68	3349.27	3344.16	3345.88	249	0	180
2025.01.01	04:30:00	3345.88	3348.10	3341.91	3343.65	526	0	180
2025.01.01	04:40:00	3343.63	3346.77	3339.13	3343.47	417	0	180
2025.01.01	04:50:00	3343.49	3345.11	3336.55	3338.59	310	0	180
2025.01.01	05:00:00	3338.59	3344.63	3337.78	3342.67	426	0	180
2025.01.01	05:10:00	3342.67	3345.66	3342.51	3345.56	337	0	180
2025.01.01	05:20:00	3345.56	3348.31	3343.95	3347.02	451	0	180
2025.01.01	05:30:00	3347.02	3348.87	3342.43	3342.44	461	0	180
2025.01.01	05:40:00	3342.43	3347.24	3341.65	3346.29	292	0	180
2025.01.01	05:50:00	3346.29	3346.29	3342.06	3342.55	218	0	180
